"type","name"
"Aggregate","Zonal stats"
"Analyze","Accessing geocoded GMD data"
"Analyze","Spatial welfare analysis with GMD data"
"Map","Mapping interview locations with GMD data"
"Merge","Merging geocoded GMD data with spatial data"
"Merge","Extracting  values from spatial data at points"
"Merge","Changing the coordinate reference system"
"Merge","Overlaying gridded spatial data"
"Merge","Spatial joins"
"Analyze","Prediction-powered inference (PPI) - regressions with satellite data"
"Resources","Using Google Earth Engine"
"Resources","Using ESRI ArcGIS Software"
